model_id,role_category,registry_role,registry_status,selectable_in_frontend,executable,n_required_features,required_feature_family,reason_if_not_executable,notes
unified_relative_shape_v2__lgbm,active runtime model,recommended_firewall,deployment_eligible,yes,yes,12,unified_relative_shape_v2,,badge: Unified v2 firewall (default)
full_canonical__lgbm,legacy baseline,legacy_baseline,legacy_baseline,yes,no,34,full_canonical,allowlist: inference_permitted=false (legacy_baseline),badge: Legacy baseline (superseded); ui_group: main_demo_comparison
robust9_firewall,legacy baseline,legacy_baseline,legacy_baseline,yes,no,9,unknown,allowlist: inference_permitted=false (legacy_baseline),badge: Legacy baseline (not executable); ui_group: main_demo_comparison
balanced_bagging_3ds_reference,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,7,unknown,allowlist: inference_permitted=false (benchmark_comparison),badge: Comparison-only; ui_group: main_demo_comparison
balanced_bagging_baseline,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,7,unknown,allowlist: inference_permitted=false (benchmark_comparison),badge: Comparison-only; ui_group: main_demo_comparison
balanced_bagging_tuned_baseline,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,n/a (no runtime binary),unknown,metadata only — no runtime binary,badge: Comparison-only; ui_group: main_demo_comparison; no runtime binary exported
balanced_bagging_xgb_baseline,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,27,unknown,allowlist: inference_permitted=false (benchmark_comparison),badge: Comparison-only; ui_group: main_demo_comparison
clean_pooled_benchmark,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,n/a (no runtime binary),unknown,nonzero strict FPR — blocking disabled,badge: Blocking disabled â€” nonzero strict FPR; ui_group: advanced_unsafe_benchmark; no runtime binary exported
robust13_comparison,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,12,unknown,allowlist: inference_permitted=false (benchmark_comparison),badge: Comparison-only; ui_group: main_demo_comparison
single_model_fallback,benchmark comparison,benchmark_comparison,benchmark_comparison,yes,no,n/a (no runtime binary),unknown,nonzero strict FPR — blocking disabled,badge: Blocking disabled â€” nonzero strict FPR; ui_group: advanced_unsafe_benchmark; no runtime binary exported
lodo_hold_iscx,negative control,negative_control,negative_control,no,no,n/a (no runtime binary),unknown,negative_control — not deployable,badge: LODO negative control; ui_group: robustness_negative_control; no runtime binary exported
lodo_hold_usbvpn,negative control,negative_control,negative_control,no,no,n/a (no runtime binary),unknown,negative_control — not deployable,badge: LODO negative control; ui_group: robustness_negative_control; no runtime binary exported
lodo_hold_vnat,negative control,negative_control,negative_control,no,no,n/a (no runtime binary),unknown,negative_control — not deployable,badge: LODO negative control; ui_group: robustness_negative_control; no runtime binary exported
balanced_bagging_3ds_refresh,unsupported/research-only,alias,alias,no,no,n/a (no runtime binary),unknown,alias only,badge: Alias / duplicate; ui_group: hidden_alias_or_unsupported; alias_of: balanced_bagging_3ds_reference; no runtime binary exported
historical_3ds_degraded,unsupported/research-only,alias,alias,no,no,n/a (no runtime binary),unknown,historical/degraded alias,badge: Alias / duplicate; ui_group: hidden_alias_or_unsupported; alias_of: balanced_bagging_3ds_reference; no runtime binary exported
twentyone_feature_experimental,unsupported/research-only,unsupported,unsupported,no,no,n/a (no runtime binary),unknown,unsupported — no recoverable artifact,badge: Unsupported; ui_group: hidden_alias_or_unsupported; no runtime binary exported
