feature,live_mean,live_std,live_min,live_max,live_median,ref_demo_flows_full_cano_mean,ref_demo_multimodel_flow_mean,ref_simultaneous_test_se_mean,ref_vm_warp_features.csv_mean,ref_vm_basic_benign_feat_mean,ref_vm_vpnlike_features._mean,ref_live_generated_full__mean
sz_coef_variation,0.8771575882352941,0.3397104521622047,0.0,1.739573,0.8827375,0.9988386217571575,1.0028687053887777,1.0692613024672486,1.0023292,1.06898425,1.06555675,1.06547375
sz_p25_median_ratio,0.5891211764705881,0.4562835332116969,0.036111,1.0,0.9130435,0.6771011174985879,0.7606211835463575,0.6345650076990114,0.6969559999999999,0.6211949999999999,0.5723290000000001,0.58102475
sz_p75_median_ratio,1.3196973529411764,0.4619840040486042,1.0,2.30303,1.0,4.21829668690236,4.026992819235167,5.447598917327347,1.6032088000000002,1.6317522500000001,1.49397525,1.4826195
sz_iqr_norm_median,0.7305762058823531,0.5843642706419998,0.0,1.927778,0.963889,3.5411955586894637,3.266371635688809,4.837102758760336,0.9062528000000001,1.0105575,0.92164625,0.90159475
dispersion_symmetry,0.1071409705882353,0.278235358682067,0.0,1.0,0.019110000000000002,9250017.083137926,6360014.131564315,5367254.862065949,0.5808443999999999,0.49554675000000004,0.48987575,0.49549075
direction_balance_bytes,-0.825827,0.38785031209194376,-0.994502,0.574468,-0.9767755,2.7599219815434903,0.1656670091575017,127616574.23880275,0.04536060000000001,0.06178975,0.11160875,0.08767050000000001
direction_balance_packets,-0.42281176470588233,0.3082204740159382,-0.796256,0.155556,-0.42168700000000003,0.9101576647381959,0.23188839398192596,929829.1216803653,0.06549279999999999,0.076123,0.137585,0.12085925
sz_mean_max,1665.3639371470588,681.9636071773191,84.0,2393.334399,1860.7718639999998,736.9231810963029,823.6233230656194,777.3917723441294,155.6169154,165.41710525000002,169.14999999999998,165.53552625
sz_mean_min,61.95719647058824,25.38568409698538,40.0,170.227273,54.0273655,104.85362046904228,96.11979317538763,131.7849262567489,99.1471644,97.65277775,96.86114524999999,96.000992
sz_std_max,1004.0246105294119,598.6705412014599,0.0,2420.251143,1039.114499,539.9212796581627,598.4293444753166,589.20106074922,138.9584828,153.38636100000002,153.74527425000002,152.29049500000002
sz_std_min,24.969659882352943,66.39661560528833,0.0,294.351625,5.9571185,120.72048032575694,93.91853321650497,170.82314887946694,124.108509,137.30097825000001,135.20699975000002,136.2208685
