flow_id,session_id,src_ip,dst_ip,protocol,dst_port,prob_raw,prob_calibrated,action,review_threshold,block_threshold
flow_000000,vm_openvpn_lab_auto__window_0000,10.0.2.15,10.0.2.2,TCP,63894.0,9.059961883507601e-07,0.0,PASS,0.02709,0.165365
flow_000001,vm_openvpn_lab_auto__window_0000,10.0.2.15,10.0.2.2,TCP,63895.0,6.729411356708637e-07,0.0,PASS,0.02709,0.165365
flow_000002,vm_openvpn_lab_auto__window_0000,10.0.2.15,10.0.2.2,TCP,63898.0,6.344877968919062e-07,0.0,PASS,0.02709,0.165365
flow_000003,vm_openvpn_lab_auto__window_0000,10.8.0.1,10.8.0.6,TCP,44202.0,1.3975220735441447e-08,0.0,PASS,0.02709,0.165365
flow_000004,vm_openvpn_lab_auto__window_0000,10.10.10.1,10.10.10.2,UDP,44067.0,2.038699371911689e-08,0.0,PASS,0.02709,0.165365
flow_000005,vm_openvpn_lab_auto__window_0000,10.8.0.1,10.8.0.6,TCP,44212.0,3.207969124987233e-08,0.0,PASS,0.02709,0.165365
flow_000006,vm_openvpn_lab_auto__window_0001,10.8.0.1,10.8.0.6,1,,2.513464408285778e-08,0.0,PASS,0.02709,0.165365
flow_000007,vm_openvpn_lab_auto__window_0001,10.8.0.1,10.8.0.6,TCP,34654.0,7.295114252348061e-09,0.0,PASS,0.02709,0.165365
flow_000008,vm_openvpn_lab_auto__window_0001,10.8.0.1,10.8.0.6,TCP,34668.0,8.565321294458013e-09,0.0,PASS,0.02709,0.165365
flow_000009,vm_openvpn_lab_auto__window_0002,10.8.0.1,10.8.0.6,TCP,34678.0,7.888647654287234e-09,0.0,PASS,0.02709,0.165365
flow_000010,vm_openvpn_lab_auto__window_0002,10.8.0.1,10.8.0.6,TCP,34688.0,6.355126964262714e-09,0.0,PASS,0.02709,0.165365
flow_000011,vm_openvpn_lab_auto__window_0003,10.8.0.1,10.8.0.6,TCP,40586.0,7.775352009516681e-09,0.0,PASS,0.02709,0.165365
flow_000012,vm_openvpn_lab_auto__window_0003,10.8.0.1,10.8.0.6,TCP,40598.0,6.00825054297516e-09,0.0,PASS,0.02709,0.165365
flow_000013,vm_openvpn_lab_auto__window_0004,10.8.0.1,10.8.0.6,TCP,40600.0,2.317808312397536e-08,0.0,PASS,0.02709,0.165365
flow_000014,vm_openvpn_lab_auto__window_0004,10.8.0.1,10.8.0.6,TCP,40616.0,9.076587698422628e-09,0.0,PASS,0.02709,0.165365
flow_000015,vm_openvpn_lab_auto__window_0005,10.8.0.1,10.8.0.6,TCP,56302.0,2.8986121975789136e-08,0.0,PASS,0.02709,0.165365
flow_000016,vm_openvpn_lab_auto__window_0005,10.8.0.1,10.8.0.6,TCP,56318.0,6.357733506071498e-09,0.0,PASS,0.02709,0.165365
flow_000017,vm_openvpn_lab_auto__window_0006,10.8.0.1,10.8.0.6,TCP,56332.0,4.3761236571657487e-08,0.0,PASS,0.02709,0.165365
flow_000018,vm_openvpn_lab_auto__window_0006,10.8.0.1,10.8.0.6,TCP,56348.0,7.3807878295103676e-09,0.0,PASS,0.02709,0.165365
flow_000019,vm_openvpn_lab_auto__window_0007,10.8.0.1,10.8.0.6,TCP,41342.0,5.923526736218937e-08,0.0,PASS,0.02709,0.165365
flow_000020,vm_openvpn_lab_auto__window_0007,10.8.0.1,10.8.0.6,TCP,41348.0,6.661208902774852e-09,0.0,PASS,0.02709,0.165365
flow_000021,vm_openvpn_lab_auto__window_0008,10.8.0.1,10.8.0.6,TCP,41352.0,2.1800394758502407e-08,0.0,PASS,0.02709,0.165365
flow_000022,vm_openvpn_lab_auto__window_0008,10.8.0.1,10.8.0.6,TCP,41360.0,9.04061642253019e-09,0.0,PASS,0.02709,0.165365
flow_000023,vm_openvpn_lab_auto__window_0009,127.0.0.1,127.0.0.53,UDP,53.0,2.35638907721862e-08,0.0,PASS,0.02709,0.165365
flow_000025,vm_openvpn_lab_auto__window_0009,10.8.0.1,10.8.0.6,TCP,37580.0,7.852256056736901e-09,0.0,PASS,0.02709,0.165365
flow_000026,vm_openvpn_lab_auto__window_0009,10.8.0.1,10.8.0.6,TCP,37584.0,9.987767927778297e-09,0.0,PASS,0.02709,0.165365
flow_000027,vm_openvpn_lab_auto__window_0010,10.8.0.1,10.8.0.6,TCP,37586.0,7.775352009516681e-09,0.0,PASS,0.02709,0.165365
flow_000028,vm_openvpn_lab_auto__window_0010,10.8.0.1,10.8.0.6,TCP,37602.0,1.07772489290245e-08,0.0,PASS,0.02709,0.165365
flow_000029,vm_openvpn_lab_auto__window_0011,10.8.0.1,10.8.0.6,TCP,34170.0,3.9205747701647116e-08,0.0,PASS,0.02709,0.165365
flow_000030,vm_openvpn_lab_auto__window_0011,10.8.0.1,10.8.0.6,TCP,34178.0,9.789134722811187e-09,0.0,PASS,0.02709,0.165365
flow_000031,vm_openvpn_lab_auto__window_0012,10.8.0.1,10.8.0.6,TCP,34184.0,7.781776206791596e-09,0.0,PASS,0.02709,0.165365
flow_000032,vm_openvpn_lab_auto__window_0012,10.8.0.1,10.8.0.6,TCP,34196.0,9.19133025185271e-09,0.0,PASS,0.02709,0.165365
flow_000033,vm_openvpn_lab_auto__window_0013,10.8.0.1,10.8.0.6,TCP,48724.0,1.1598362642890963e-08,0.0,PASS,0.02709,0.165365
flow_000034,vm_openvpn_lab_auto__window_0013,10.8.0.1,10.8.0.6,TCP,48736.0,1.07772489290245e-08,0.0,PASS,0.02709,0.165365
