session_id,n_flows,mean_score,max_score,p80_score,agg_score,agg_method,review_threshold,block_threshold,action
vm_openvpn_lab_auto__window_0000,6,3.799778377696602e-07,9.059961883507601e-07,6.729411356708637e-07,3.799778377696602e-07,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0001,3,1.3665026543221284e-08,2.513464408285778e-08,1.8506914967497874e-08,1.3665026543221284e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0002,2,7.121887309274974e-09,7.888647654287234e-09,7.58194351628233e-09,7.121887309274974e-09,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0003,2,6.891801276245921e-09,7.775352009516681e-09,7.421931716208377e-09,6.891801276245921e-09,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0004,2,1.6127335411198994e-08,2.317808312397536e-08,2.0357784038864813e-08,1.6127335411198994e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0005,2,1.767192774093032e-08,2.8986121975789136e-08,2.446044428184561e-08,1.767192774093032e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0006,2,2.557101220058393e-08,4.3761236571657487e-08,3.6485146823228065e-08,2.557101220058393e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0007,2,3.2948238132482115e-08,5.923526736218937e-08,4.872045567030647e-08,3.2948238132482115e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0008,2,1.54205055905163e-08,2.1800394758502407e-08,1.9248439091307964e-08,1.54205055905163e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0009,3,1.3801304918900465e-08,2.35638907721862e-08,1.813344163442304e-08,1.3801304918900465e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0010,2,9.27630046927059e-09,1.07772489290245e-08,1.0176869545122936e-08,9.27630046927059e-09,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0011,2,2.449744121222915e-08,3.9205747701647116e-08,3.332242510587993e-08,2.449744121222915e-08,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0012,2,8.486553229322153e-09,9.19133025185271e-09,8.909419442840488e-09,8.486553229322153e-09,mean,0.02709,0.165365,PASS
vm_openvpn_lab_auto__window_0013,2,1.118780578595773e-08,1.1598362642890963e-08,1.143413990011767e-08,1.118780578595773e-08,mean,0.02709,0.165365,PASS
