dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/ensemble/diverse_bagging_robust9,3-DS ✅,test,iso,9384,1289,0.9912306871801164,0.9645511984958675
artifacts/experiments/exp_b_balanced,3-DS ✅,test,iso,8733,782,0.9884842936644235,0.8963779395002077
artifacts/experiments/exp_b_balanced_sample,3-DS ✅,test,iso,8495,657,0.9858809460836117,0.8601644042969934
artifacts/balanced_bagging,3-DS ✅,test,iso,8495,657,0.9845632622244282,0.8598983995074084
artifacts/ensemble/diverse_bagging_robust,3-DS ✅,test,iso,8495,657,0.9842249812896855,0.8659416827709009
artifacts/experiments/exp_f1_light_balance,3-DS ✅,test,iso,8733,782,0.9833704908034858,0.8777725621521223
artifacts/balanced_bagging_firewall_tuned_ensemble,3-DS ✅,test,iso,8495,657,0.9825010496030151,0.8513035021525709
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,3-DS ✅,test,iso,8495,657,0.9825010496030151,0.8513035021525709
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,3-DS ✅,test,iso,8495,657,0.9825010496030151,0.8513035021525709
artifacts/ensemble/balanced_ensemble_robust9,3-DS ✅,test,iso,3351,1251,0.9821773057744281,0.9771017096554211
artifacts/experiments/exp_d_iat_expanded,3-DS ✅,test,iso,8495,657,0.9816445696588799,0.8537794430898658
artifacts/experiments/exp_f7_cat-heavy,3-DS ✅,test,iso,8733,782,0.9815678897698532,0.7876788347391188
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,3-DS ✅,test,iso,8514,672,0.980479234221105,0.8348887842071921
artifacts/experiments/exp_f6_ratio_1_5,3-DS ✅,test,iso,8733,782,0.9802833274522563,0.7839773867124371
artifacts/experiments/exp_f4_diverse_bagging,3-DS ✅,test,iso,8733,782,0.9793284699989482,0.7518093708629097
artifacts/experiments/exp_f2_strict_reg,3-DS ✅,test,iso,8733,782,0.9789660358956923,0.7621149383270824
artifacts/experiments/exp_f6_ratio_2_0,3-DS ✅,test,iso,8733,782,0.9782524259040588,0.7384531291786844
artifacts/experiments/exp_f6_ratio_3_0,3-DS ✅,test,iso,8733,782,0.9782524259040588,0.7384531291786844
artifacts/experiments/exp_c_combined,3-DS ✅,test,iso,8733,782,0.9780044235134573,0.7711182704924627
artifacts/experiments/exp_d1_safe_expanded,3-DS ✅,test,iso,8733,782,0.9780044235134573,0.7711182704924627
artifacts/experiments/exp_d2_full_expanded,3-DS ✅,test,iso,8733,782,0.9780044235134573,0.7711182704924627
artifacts/experiments/exp_d_iat_balanced,3-DS ✅,test,iso,8733,782,0.9780044235134573,0.7711182704924627
artifacts/experiments/exp_f7_lgbm-heavy,3-DS ✅,test,iso,8733,782,0.9771943949529743,0.7647026568651494
artifacts/experiments/exp_f7_xgb-heavy,3-DS ✅,test,iso,8733,782,0.9767103721290347,0.7440412449900737
artifacts/experiments/ablation_4f_no_p75,3-DS ✅,test,iso,8495,657,0.9766788113794445,0.7049277453242432
artifacts/experiments/baseline_3ds,3-DS ✅,test,iso,8733,782,0.9760799925116789,0.8508642281777719
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,3-DS ✅,test,iso,8733,782,0.9754796079953912,0.8471915572850328
artifacts/experiments/exp_a_no_direction,3-DS ✅,test,iso,8733,782,0.9743812083023866,0.6925024080565048
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,3-DS ✅,test,iso,8733,782,0.9730972088955336,0.8147672194158098
artifacts/balanced_subset/balanced,3-DS ✅,test,iso,8495,657,0.9722999957666334,0.9366075873648213
artifacts/balanced_subset/full,3-DS ✅,test,iso,8495,657,0.9712232059944469,0.9421566639198573
artifacts/experiments/exp_f9_reduced,3-DS ✅,test,iso,8733,782,0.9708046342672397,0.747534641557841
artifacts/experiments/exp_f5_weighted_usb,3-DS ✅,test,iso,8733,782,0.9697297964096586,0.6458514703523881
artifacts/experiments/exp_db_iat_balanced,3-DS ✅,test,iso,8495,657,0.9646547883841083,0.7333221178316887
artifacts/balanced_bagging_cat,3-DS ✅,test,iso,10846,1610,0.9613640520889094,0.8445898394947675
artifacts/balanced_bagging_tuned,3-DS ✅,test,iso,9384,1289,0.960600290096608,0.8487852340612316
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,3-DS ✅,test,iso,8733,782,0.9591957259956363,0.7172270254607782
artifacts/experiments/ablation_4f_no_p25,3-DS ✅,test,iso,8495,657,0.9575549667680732,0.5771182736705069
artifacts/balanced_bagging_xgb,3-DS ✅,test,iso,10846,1610,0.9555838078918839,0.8081655995780075
artifacts/balanced_bagging_lgbm,3-DS ✅,test,iso,10846,1610,0.9514740792846785,0.791654846956213
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,2-DS (by design),test,iso,1844,251,0.9460538261267548,0.8496148975273976
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,3-DS ✅,test,iso,8733,782,0.9386108038333258,0.6504244319368682
artifacts/experiments/ablation_3f_core,3-DS ✅,test,iso,8495,657,0.9259607508671603,0.5162236325556924
artifacts/experiments/feature_leakage_reduction/exp_3f-core,3-DS ✅,test,iso,8733,782,0.9237399886324196,0.5863105842616609
artifacts/ensemble/diverse_bagging_robust13,3-DS ✅,test,iso,9384,1289,0.9195084458172468,0.6898619726736336
artifacts/thesis_finalization/lodo_test_vnat,2-DS (by design),test,iso,16233,1030,0.8330745592496116,0.20951936488861717
artifacts/experiments/baseline_2ds,2-DS (by design),test,iso,1890,357,0.7991662418392014,0.3674637674776409
artifacts/experiments/exp_e_adversarial,3-DS ✅,test,iso,8733,782,0.7297548346795477,0.19287205338775323
