dir,dataset,n,n_vpn,auc_iso,pr_iso
artifacts/balanced_subset/balanced,iscx,1278,231,0.9784356045101031,0.9378649381806823
artifacts/balanced_subset/full,iscx,1278,231,0.9782350727909467,0.9489197444333751
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,iscx,1634,238,0.9426949146420747,0.8452924270374279
artifacts/ensemble/diverse_bagging_robust9,iscx,1634,238,0.9174622571091474,0.7945788858396284
artifacts/ensemble/balanced_ensemble_robust9,iscx,1634,238,0.9150047554838554,0.7774516247822594
artifacts/experiments/exp_b_balanced,iscx,1283,231,0.8817506954389084,0.5281607296759727
artifacts/experiments/exp_f1_light_balance,iscx,1283,231,0.8805264760587955,0.5282601371638029
artifacts/experiments/exp_d_iat_expanded,iscx,1278,231,0.8546785910682759,0.455170018549763
artifacts/experiments/exp_f7_lgbm-heavy,iscx,1283,231,0.8543693315556433,0.4771050916668915
artifacts/experiments/exp_c_combined,iscx,1283,231,0.8539907494280117,0.4790482191995691
artifacts/experiments/exp_d1_safe_expanded,iscx,1283,231,0.8539907494280117,0.4790482191995691
artifacts/experiments/exp_d2_full_expanded,iscx,1283,231,0.8539907494280117,0.4790482191995691
artifacts/experiments/exp_d_iat_balanced,iscx,1283,231,0.8539907494280117,0.4790482191995691
artifacts/experiments/exp_f7_cat-heavy,iscx,1283,231,0.8538446661070236,0.47331921596939475
artifacts/experiments/exp_b_balanced_sample,iscx,1278,231,0.8503516540765824,0.42998337544547277
artifacts/experiments/exp_f2_strict_reg,iscx,1283,231,0.8503098612414202,0.46295480191718863
artifacts/experiments/exp_f4_diverse_bagging,iscx,1283,231,0.8493243132026402,0.45892143508407807
artifacts/balanced_bagging_firewall_tuned_ensemble,iscx,1278,231,0.8489768747648403,0.44037511000322893
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,iscx,1278,231,0.8489768747648403,0.44037511000322893
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,iscx,1278,231,0.8489768747648403,0.44037511000322893
artifacts/ensemble/diverse_bagging_robust,iscx,1278,231,0.8458221180284218,0.41455859977354365
artifacts/experiments/exp_f5_weighted_usb,iscx,1283,231,0.8431826411864435,0.44203177933791815
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,iscx,1282,231,0.8431714178621885,0.423315670726884
artifacts/experiments/exp_f7_xgb-heavy,iscx,1283,231,0.8425180649515249,0.4334788232349292
artifacts/experiments/baseline_3ds,iscx,1283,231,0.8402548022319885,0.4341372737007255
artifacts/balanced_bagging,iscx,1278,231,0.8384768685628285,0.41291531821941074
artifacts/experiments/exp_f6_ratio_2_0,iscx,1283,231,0.8243975606142907,0.3969834801211557
artifacts/experiments/exp_f6_ratio_3_0,iscx,1283,231,0.8243975606142907,0.3969834801211557
artifacts/experiments/ablation_4f_no_p25,iscx,1278,231,0.8221138937471317,0.4635236361761902
artifacts/experiments/exp_f6_ratio_1_5,iscx,1283,231,0.8194965680707126,0.3845826220280142
