dir,split,n_rows,vpn_rate,datasets
artifacts/balanced_bagging,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/balanced_bagging,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/balanced_bagging,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_cat,test,10846,0.14844182186981375,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_cat,train,57971,0.15757878939469736,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_cat,val,10068,0.13488279698053238,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,test,1844,0.136117136659436,"iscx,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,train,16138,0.14735407113644813,"iscx,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,val,1926,0.3572170301142264,"iscx,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,test,8514,0.07892882311486962,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,train,49724,0.20937575416297965,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,val,8924,0.03227252353204841,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_lgbm,test,10846,0.14844182186981375,"iscx,usbvpn,vnat"
artifacts/balanced_bagging_lgbm,train,57971,0.15757878939469736,"iscx,usbvpn,vnat"
