artifact,model_files,model_file_count,prediction_files,prediction_file_count,calibrators,has_isotonic_calibrator,has_platt_calibrator,prediction_columns,has_prob_raw,has_prob_iso,has_prob_platt,has_split_col,has_dataset_col,has_label_col,has_flow_id_col,has_capture_id_col,session_grouping_possible,feature_order_recoverable,feature_order_note,inference_mode,live_inference_possible,threshold_computation_possible,preliminary_status,prediction_hash_duplicates,model_hash_duplicates,registry_model_id,registry_status,package_dir,selected_probability_column,selected_aggregation,session_auc_test,any_overlap_detected,threshold_source
artifacts/ensemble/diverse_bagging_robust9,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,policy_packaging_possible,,,,,,,,,,
artifacts/balanced_bagging_firewall_tuned_ensemble,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,candidate_default,e9cd6e6eea:artifacts/balanced_bagging_firewall_tuned_ensemble/predictions.csv|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/predictions.csv,21047d94a1:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag2.pkl || 57b8af34d4:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag2.pkl || 7c404f66c1:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag0.pkl || 9684c28c90:artifacts/balanced_bagging_firewall_tuned_ensemble/isotonic_calibrator.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/isotonic_calibrator.pkl || a617475d93:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag0.pkl || b294660405:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag1.pkl || b7a44c04fa:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag1.pkl || c3bae352f9:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag0.pkl || ec8640857d:artifacts/balanced_bagging_firewall_tuned_ensemble/platt_calibrator.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/platt_calibrator.pkl || f354c74483:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag2.pkl || fcd608874f:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag1.pkl,balanced_bagging_3ds_reference,policy_computed,backend/model_registry/balanced_bagging_3ds_reference,prob_raw,wt5,0.9504950495049506,False,recomputed_from_validation
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,candidate_default,e9cd6e6eea:artifacts/balanced_bagging_firewall_tuned_ensemble/predictions.csv|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/predictions.csv,21047d94a1:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag2.pkl || 57b8af34d4:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag2.pkl || 7c404f66c1:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag0.pkl || 9684c28c90:artifacts/balanced_bagging_firewall_tuned_ensemble/isotonic_calibrator.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/isotonic_calibrator.pkl || a617475d93:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag0.pkl || b294660405:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag1.pkl || b7a44c04fa:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag1.pkl || c3bae352f9:artifacts/balanced_bagging_firewall_tuned_ensemble/model_xgb_bag0.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_xgb_bag0.pkl || ec8640857d:artifacts/balanced_bagging_firewall_tuned_ensemble/platt_calibrator.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/platt_calibrator.pkl || f354c74483:artifacts/balanced_bagging_firewall_tuned_ensemble/model_lgbm_bag2.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_lgbm_bag2.pkl || fcd608874f:artifacts/balanced_bagging_firewall_tuned_ensemble/model_cat_bag1.pkl|artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH/model_cat_bag1.pkl,balanced_bagging_3ds_refresh,alias,backend/model_registry/balanced_bagging_3ds_refresh,,,,,
artifacts/clean_pipeline/models,cb_model.pkl;lgb_model.pkl;xgb_model.pkl,3,test_predictions.parquet;val_predictions.parquet,2,,False,False,capture_id;cb_score;dataset;ensemble_score;flow_id;label;lgb_score;xgb_score,False,False,False,False,True,True,True,True,True,True,cb_model.pkl:feature_names_,live_inference_possible,True,False,research_only,,,single_model_fallback,policy_computed,backend/model_registry/single_model_fallback,xgb_score,p80,1.0,False,recomputed_from_validation
artifacts/lood_firewall_tuned/hold_iscx,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,negative_control,,,,,,,,,,
artifacts/lood_firewall_tuned/hold_usbvpn,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,negative_control,,,,,,,,,,
artifacts/lood_firewall_tuned/hold_vnat,isotonic_calibrator.pkl;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl,11,predictions.csv,1,isotonic_calibrator.pkl;platt_calibrator.pkl,True,True,capture_id;dataset;flow_id;label;p_cat_raw;p_lgbm_raw;p_xgb_raw;prob;prob_iso;prob_platt;prob_raw;split,True,True,True,True,True,True,True,True,True,True,predictions.csv:per-family-prob-columns;model_cat_bag0.pkl:feature_names_,live_inference_possible,True,True,negative_control,,,,,,,,,,
<registry-only:twentyone_feature_experimental>,,,,,,,,,,,,,,,,,,,,,,,,,,twentyone_feature_experimental,unsupported,backend/model_registry/twentyone_feature_experimental,,,,,
artifacts/balanced_bagging_xgb,isotonic_calibrator.pkl;metrics.json;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl;predictions.csv,5,predictions.csv,1,,,,,,,,,,,,,,,,xgb_only_inference,,,policy_packaging_possible,,,balanced_bagging_xgb_baseline,policy_computed,backend/model_registry/balanced_bagging_xgb_baseline,prob_raw,wt5,0.9710338680926917,True,recomputed_from_validation
artifacts/balanced_bagging,isotonic_calibrator.pkl;metrics.json;model_cat_bag0.pkl;model_cat_bag1.pkl;model_cat_bag2.pkl;model_lgbm_bag0.pkl;model_lgbm_bag1.pkl;model_lgbm_bag2.pkl;model_xgb_bag0.pkl;model_xgb_bag1.pkl;model_xgb_bag2.pkl;platt_calibrator.pkl;predictions.csv,11,predictions.csv,1,,,,,,,,,,,,,,,,live_inference_possible,,,policy_packaging_possible,,,balanced_bagging_baseline,policy_computed,backend/model_registry/balanced_bagging_baseline,prob_raw,p80,0.9306930693069306,True,recomputed_from_validation
