model_id,n_boot,n_test_sessions,session_auc_mean,session_auc_lo,session_auc_hi,strict_recall_mean,strict_recall_lo,strict_recall_hi,strict_fpr_mean,strict_fpr_lo,strict_fpr_hi,reason
robust9_firewall,1000,124,0.999067056191735,0.9956698418003566,1.0,0.9077808743418433,0.75,1.0,0.0,0.0,0.0,
balanced_bagging_3ds_reference,997,106,0.953441991855962,0.8598333333333333,1.0,0.4053440624905018,0.0,1.0,0.0,0.0,0.0,
balanced_bagging_3ds_refresh,0,,,,,,,,,,,alias entry
clean_pooled_benchmark,1000,91,0.9988059320620791,0.9944355847641244,1.0,1.0,1.0,1.0,0.1252807271847038,0.0,0.2759655172413792,
twentyone_feature_experimental,0,,,,,,,,,,,unsupported entry
single_model_fallback,1000,91,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.041234397499977794,0.0,0.14285714285714285,
lodo_hold_iscx,1000,140,0.5622808729795031,0.5026967963386728,0.6168370918309434,0.0,0.0,0.0,0.0,0.0,0.0,
lodo_hold_usbvpn,1000,504,0.8154886638845066,0.702995472793447,0.9152717019371036,0.04418548206057248,0.0,0.15394736842105256,0.0,0.0,0.0,
lodo_hold_vnat,996,88,0.1826748877394157,0.03883179777935271,0.3903614457831325,0.0,0.0,0.0,0.0,0.0,0.0,
balanced_bagging_xgb_baseline,1000,124,0.9706050923830576,0.9375953654188949,0.9961582809224317,0.0903061949912039,0.0,0.22727272727272727,0.0,0.0,0.0,
balanced_bagging_baseline,997,106,0.9312977741531533,0.8527955736750146,0.996039603960396,0.19918825741293142,0.0,0.6666666666666666,0.0,0.0,0.0,
balanced_bagging_tuned_baseline,1000,124,0.966498319155457,0.9182670454545455,0.999167297979798,0.18120712795793537,0.041666666666666664,0.3684210526315789,0.01023571477499399,0.0,0.030927835051546393,
robust13_comparison,1000,124,0.9368167505943665,0.8614402064743942,0.9896725423009647,0.0903061949912039,0.0,0.22727272727272727,0.0,0.0,0.0,
historical_3ds_degraded,0,,,,,,,,,,,alias entry
