model_id,n_perm,auc_mean,auc_std,auc_p05,auc_p50,auc_p95,reason
robust9_firewall,200,0.4980347593582887,0.07356384828025007,0.3811942959001782,0.500668449197861,0.6212121212121212,
balanced_bagging_3ds_reference,200,0.5061683168316832,0.1225028467266445,0.3047524752475248,0.498019801980198,0.7130693069306929,
balanced_bagging_3ds_refresh,0,,,,,,alias entry
clean_pooled_benchmark,200,0.49747201492537313,0.06850092838898673,0.38861940298507464,0.49098258706467657,0.6144278606965174,
twentyone_feature_experimental,0,,,,,,unsupported entry
single_model_fallback,200,0.5003855721393036,0.06776535753221022,0.38767101990049746,0.5013992537313433,0.6082555970149253,
lodo_hold_iscx,200,0.5032361645457236,0.040151730463133,0.43041580349215736,0.501257768570583,0.5615566735720627,
lodo_hold_usbvpn,200,0.5010259423302902,0.06522766679998965,0.3915619633010937,0.5032766880592967,0.6041128084606346,
lodo_hold_vnat,200,0.49377108433734945,0.1387968075331368,0.2721686746987952,0.48674698795180726,0.7332530120481926,
balanced_bagging_xgb_baseline,200,0.4949910873440285,0.07473956876042366,0.3824086452762923,0.499331550802139,0.6220142602495542,
balanced_bagging_baseline,200,0.5125049504950495,0.12406490983658326,0.31861386138613856,0.5118811881188119,0.7093069306930692,
balanced_bagging_tuned_baseline,200,0.49885472370766487,0.06917076297340277,0.38443627450980394,0.4994429590017825,0.608389037433155,
robust13_comparison,200,0.5037121212121213,0.06978758822845169,0.3831773618538325,0.5065730837789661,0.6168226381461676,
historical_3ds_degraded,0,,,,,,alias entry
