model_id,status,leakage_status,reason,flow_overlap_train_val,flow_overlap_train_test,flow_overlap_val_test,capture_overlap_train_val,capture_overlap_train_test,capture_overlap_val_test,feature_order_n,suspicious_feature_columns
robust9_firewall,default_firewall,no_direct_overlap_detected,,0,0,0,0,0,0,9,
balanced_bagging_3ds_reference,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,7,
balanced_bagging_3ds_refresh,alias,not_available,alias entry; leakage check inherited from target,,,,,,,,
clean_pooled_benchmark,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,9,
twentyone_feature_experimental,unsupported,not_available,unsupported stub; no predictions or feature order to check,,,,,,,,
single_model_fallback,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,9,
lodo_hold_iscx,negative_control,no_direct_overlap_detected,,0,0,0,0,0,0,7,
lodo_hold_usbvpn,negative_control,no_direct_overlap_detected,,0,0,0,0,0,0,7,
lodo_hold_vnat,negative_control,no_direct_overlap_detected,,0,0,0,0,0,0,7,
balanced_bagging_xgb_baseline,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,27,
balanced_bagging_baseline,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,7,
balanced_bagging_tuned_baseline,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,27,
robust13_comparison,policy_computed,no_direct_overlap_detected,,0,0,0,0,0,0,12,
historical_3ds_degraded,alias,not_available,alias entry; leakage check inherited from target,,,,,,,,
