model_id,dataset,n_sessions,n_vpn,n_benign,session_auc,strict_TP,strict_FP,strict_TN,strict_FN,strict_recall,strict_fpr
robust9_firewall,iscx,21,4,17,1.0,3,0,17,1,0.75,0.0
robust9_firewall,usbvpn,77,5,72,1.0,5,0,72,0,1.0,0.0
robust9_firewall,vnat,26,13,13,1.0,12,0,13,1,0.9230769230769231,0.0
balanced_bagging_3ds_reference,iscx,19,2,17,0.8823529411764706,0,0,17,2,0.0,0.0
balanced_bagging_3ds_reference,usbvpn,74,2,72,1.0,2,0,72,0,1.0,0.0
balanced_bagging_3ds_reference,vnat,13,1,12,0.8333333333333334,0,0,12,1,0.0,0.0
clean_pooled_benchmark,iscx,10,4,6,1.0,4,1,5,0,1.0,0.16666666666666666
clean_pooled_benchmark,usbvpn,8,8,0,,8,0,0,0,1.0,0.0
clean_pooled_benchmark,vnat,73,55,18,1.0,55,2,16,0,1.0,0.1111111111111111
single_model_fallback,iscx,10,4,6,1.0,4,0,6,0,1.0,0.0
single_model_fallback,usbvpn,8,8,0,,8,0,0,0,1.0,0.0
single_model_fallback,vnat,73,55,18,1.0,55,1,17,0,1.0,0.05555555555555555
lodo_hold_iscx,iscx,140,31,109,0.5622965374371116,0,0,109,31,0.0,0.0
lodo_hold_usbvpn,usbvpn,504,23,481,0.8134321612582481,1,0,481,22,0.043478260869565216,0.0
lodo_hold_vnat,vnat,88,5,83,0.17590361445783131,0,0,83,5,0.0,0.0
balanced_bagging_xgb_baseline,iscx,21,4,17,0.8088235294117646,0,0,17,4,0.0,0.0
balanced_bagging_xgb_baseline,usbvpn,77,5,72,0.9944444444444445,2,0,72,3,0.4,0.0
balanced_bagging_xgb_baseline,vnat,26,13,13,1.0,0,0,13,13,0.0,0.0
balanced_bagging_baseline,iscx,19,2,17,0.8529411764705882,0,0,17,2,0.0,0.0
balanced_bagging_baseline,usbvpn,74,2,72,1.0,1,0,72,1,0.5,0.0
balanced_bagging_baseline,vnat,13,1,12,1.0,0,0,12,1,0.0,0.0
balanced_bagging_tuned_baseline,iscx,21,4,17,0.8088235294117647,0,1,16,4,0.0,0.058823529411764705
balanced_bagging_tuned_baseline,usbvpn,77,5,72,0.9333333333333333,4,0,72,1,0.8,0.0
balanced_bagging_tuned_baseline,vnat,26,13,13,1.0,0,0,13,13,0.0,0.0
robust13_comparison,iscx,21,4,17,0.7499999999999999,0,0,17,4,0.0,0.0
robust13_comparison,usbvpn,77,5,72,0.9472222222222222,2,0,72,3,0.4,0.0
robust13_comparison,vnat,26,13,13,1.0,0,0,13,13,0.0,0.0
