dir,train_datasets,n_train,n_test,status,note
balanced_bagging,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
balanced_bagging_cat,"iscx,usbvpn,vnat",57971,10846,3-DS ✅,
balanced_bagging_firewall_tuned,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
balanced_bagging_firewall_tuned_ensemble,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,"iscx,usbvpn,vnat",49724,8514,3-DS ✅,
balanced_bagging_lgbm,"iscx,usbvpn,vnat",57971,10846,3-DS ✅,
balanced_bagging_tuned,"iscx,usbvpn,vnat",51499,9384,3-DS ✅,
balanced_bagging_xgb,"iscx,usbvpn,vnat",57971,10846,3-DS ✅,
balanced_subset/balanced,"iscx,usbvpn,vnat",20698,8495,3-DS ✅,
balanced_subset/full,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
clean_pipeline/models (xgb/lgb/cb single),"iscx,usbvpn,vnat","~2,817 (clean_pipeline subset)",4256,3-DS ✅,Trained on clean_pipeline/features.parquet (small subset)
"clean_pipeline/models_3ds_66k (xgb/lgb/cb single, pooled 66K)","iscx,usbvpn,vnat","~49,506",8495,3-DS ✅,Retrained on full pooled dataset (task b)
ensemble/balanced_ensemble_robust9,"iscx,usbvpn,vnat",22696,3351,3-DS ✅,
ensemble/diverse_bagging_robust,"iscx,usbvpn,vnat",49506,8495,3-DS ✅,
ensemble/diverse_bagging_robust13,"iscx,usbvpn,vnat",51499,9384,3-DS ✅,
ensemble/diverse_bagging_robust9,"iscx,usbvpn,vnat",51499,9384,3-DS ✅,
balanced_bagging_firewall_tuned_ensemble_2dataset_backup,"iscx,vnat",16138,1844,2-DS (by design),Intentional 2-DS validated backup (zero-FPR snapshot)
ensemble/lood_iscx,"usbvpn,vnat",41230,1278,2-DS (by design),LODO experiment (held out ISCX)
ensemble/lood_usbvpn,"iscx,vnat",10645,6810,2-DS (by design),LODO experiment (held out USBVPN)
ensemble/lood_vnat,"iscx,usbvpn",47137,407,2-DS (by design),LODO experiment (held out VNAT)
lood_firewall_tuned/hold_iscx,"usbvpn,vnat",41230,11781,2-DS (by design),LODO experiment (held out ISCX)
lood_firewall_tuned/hold_usbvpn,"iscx,vnat",10645,52182,2-DS (by design),LODO experiment (held out USBVPN)
lood_firewall_tuned/hold_vnat,"iscx,usbvpn",47137,2899,2-DS (by design),LODO experiment (held out VNAT)
