dir,n_model_files,file_kinds,train_datasets,n_train_flows,n_test_flows,evidence_file,status,note
artifacts/balanced_bagging,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_cat,3,.pkl,"iscx,usbvpn,vnat",57971,10846,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_firewall_tuned_ensemble,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,9,.pkl,"iscx,vnat",16138,1844,predictions.csv,2-DS (by design),Intentional 2-DS validated backup
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,9,.pkl,"iscx,usbvpn,vnat",49724,8514,predictions.csv,3-DS ✅,Pre-promotion snapshot (was 2-DS)
artifacts/balanced_bagging_lgbm,3,.pkl,"iscx,usbvpn,vnat",57971,10846,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_tuned,9,.pkl,"iscx,usbvpn,vnat",51499,9384,predictions.csv,3-DS ✅,
artifacts/balanced_bagging_xgb,3,.pkl,"iscx,usbvpn,vnat",57971,10846,predictions.csv,3-DS ✅,
artifacts/balanced_subset/balanced,9,.pkl,"iscx,usbvpn,vnat",20698,8495,predictions.csv,3-DS ✅,
artifacts/balanced_subset/full,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
artifacts/clean_pipeline/evaluation_v2/models,3,.pkl,"iscx,usbvpn,vnat",0,4275,test_predictions.parquet (test-only),3-DS ✅,
artifacts/clean_pipeline/models,3,.pkl,"iscx,usbvpn,vnat",0,4256,test_predictions.parquet (test-only),3-DS ✅,
artifacts/clean_pipeline/models_3ds_66k,3,.pkl,"iscx,usbvpn,vnat",0,8495,predictions.csv (test-only),3-DS ✅,
artifacts/ensemble/balanced_ensemble_robust9,9,.pkl,"iscx,usbvpn,vnat",22696,3351,predictions.csv,3-DS ✅,
artifacts/ensemble/diverse_bagging_robust,9,.pkl,"iscx,usbvpn,vnat",49506,8495,predictions.csv,3-DS ✅,
