Rank,Configuration,Tier,Calibration,Aggregation,Session AUC,Session PR-AUC,Block Recall,Block FPR,Block Precision,Flag Recall,Block Threshold
1,LightGBM (3 bags),Notebook-Only,per-family raw,p90,0.9902,0.9815,0.7059,0.0,1.0,1.0,0.968
2,Ensemble (isotonic),Notebook-Only,isotonic,p90,0.9902,0.9775,0.7059,0.0,1.0,1.0,0.9588
3,ensemble_3 proxy (fresh isotonic),Notebook-Only (true per-bag),isotonic,p90,0.9902,0.9775,0.7059,0.0,,,0.9588
4,ensemble_9 (stored isotonic),Notebook-Only (true per-bag),isotonic,p90,0.9902,0.9775,0.7059,0.0,,,0.9588
5,XGBoost (3 bags),Notebook-Only,per-family raw,p90,0.9941,0.9896,0.6471,0.0,1.0,1.0,0.981
6,Ensemble (platt),Notebook-Only,platt,p90,0.9922,0.9867,0.6471,0.0,1.0,1.0,0.9522
7,ensemble_9 (stored raw),Notebook-Only (true per-bag),raw,p90,0.9922,0.9867,0.5882,0.0,,,0.9694
8,Ensemble (raw),Notebook-Only,raw,p90,0.9922,0.9867,0.5882,0.0,1.0,1.0,0.9694
9,"ensemble_3 proxy (raw, = ~prob_raw)",Notebook-Only (true per-bag),raw,p90,0.9922,0.9867,0.5882,0.0,,,0.9694
10,CatBoost (3 bags),Notebook-Only,per-family raw,p90,0.9902,0.9836,0.5882,0.0,1.0,0.8235,0.9591
