model_id,display_name,role,status,model_family,feature_family,n_features,probability_column,aggregation,threshold_type,review_threshold,block_threshold,strict_threshold,balanced_threshold,runtime_compatible,live_extractor_compatible,benchmark_compatible,selectable_in_benchmark,executable,comparison_only,report_only,production_ready,artifact_path,feature_order_path,thresholds_path,calibrator_path,notes
unified_relative_shape_v2__lgbm,Unified Relative Shape v2 — LightGBM,recommended_simulation_firewall,active_candidate,lgbm,unified_relative_shape_v2,12,vpn_score,per_flow,three_class,0.0367,0.425,,,True,True,True,True,True,False,False,False,artifacts/unified_feature_contract_v2/models/unified_relative_shape_v2__lgbm,artifacts/unified_feature_contract_v2/models/unified_relative_shape_v2__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_relative_shape_v2__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_relative_shape_v2__lgbm/calibrator.pkl,Selected model. Highest deployment score (0.4691). 12 ratio/relative features. Domain AUC reduced from 1.0 to 0.9591 vs legacy. LODO-min=0.6366. ECE=0.299. Simulation only.
unified_full__lgbm,Unified Full — LightGBM,best_pooled_offline,comparison_unified,lgbm,unified_full,33,vpn_score,per_flow,three_class,0.0556,0.2174,,,True,True,True,True,True,True,False,False,artifacts/unified_feature_contract_v2/models/unified_full__lgbm,artifacts/unified_feature_contract_v2/models/unified_full__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_full__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_full__lgbm/calibrator.pkl,Best pooled AUC (0.9955) but worst LODO-min (0.346) and highest domain AUC (0.983). Comparison only.
unified_directionless__lgbm,Unified Directionless — LightGBM,best_pooled_offline_directionless,comparison_unified,lgbm,unified_directionless,30,vpn_score,per_flow,three_class,0.0265,0.1875,,,True,True,True,True,True,True,False,False,artifacts/unified_feature_contract_v2/models/unified_directionless__lgbm,artifacts/unified_feature_contract_v2/models/unified_directionless__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_directionless__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_directionless__lgbm/calibrator.pkl,Directionless 30 features. AUC=0.9955. LODO-min=0.389. Comparison only.
unified_size_shape__lgbm,Unified Size-Shape — LightGBM,best_low_fingerprint,comparison_unified,lgbm,unified_size_shape,16,vpn_score,per_flow,three_class,0.0714,0.34,,,True,True,True,True,True,True,False,False,artifacts/unified_feature_contract_v2/models/unified_size_shape__lgbm,artifacts/unified_feature_contract_v2/models/unified_size_shape__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_size_shape__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_size_shape__lgbm/calibrator.pkl,Lowest domain AUC (0.948). Good ECE (0.201). LODO-min=0.562. Comparison only.
unified_timing_shape__lgbm,Unified Timing-Shape — LightGBM,timing_only_baseline,comparison_unified,lgbm,unified_timing_shape,14,vpn_score,per_flow,three_class,0.158,0.623,,,True,True,True,True,True,True,False,False,artifacts/unified_feature_contract_v2/models/unified_timing_shape__lgbm,artifacts/unified_feature_contract_v2/models/unified_timing_shape__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_timing_shape__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_timing_shape__lgbm/calibrator.pkl,Timing features only. AUC=0.929. Very high domain AUC (0.981). Not recommended alone.
unified_safe_hybrid__lgbm,Unified Safe Hybrid — LightGBM,anti_fingerprint_candidate,comparison_unified,lgbm,unified_safe_hybrid,12,vpn_score,per_flow,three_class,0.0158,0.316,,,True,True,True,True,True,True,False,False,artifacts/unified_feature_contract_v2/models/unified_safe_hybrid__lgbm,artifacts/unified_feature_contract_v2/models/unified_safe_hybrid__lgbm/feature_order.json,artifacts/unified_feature_contract_v2/models/unified_safe_hybrid__lgbm/thresholds.json,artifacts/unified_feature_contract_v2/models/unified_safe_hybrid__lgbm/calibrator.pkl,Anti-fingerprint selected 12 features. LODO-min=0.293 (poor). Deploy score=0.011. Not recommended.
full_canonical__lgbm,Full Canonical — LightGBM (Legacy),legacy_mixed_feature_baseline,legacy_comparison,lgbm,full_canonical,34,vpn_score,per_session,binary,,0.5,,,True,False,True,True,False,True,False,False,artifacts/final_transfer/models/full_canonical__lgbm,artifacts/final_transfer/models/full_canonical__lgbm/feature_order.json,artifacts/final_transfer/models/full_canonical__lgbm/thresholds.json,artifacts/final_transfer/models/full_canonical__lgbm/calibrator.pkl,Legacy app runtime model. Pooled AUC=0.9994. Domain AUC=1.0 (complete fingerprinting). Feature definition mismatch across datasets. Not the recommended model for thesis. Comparison/documentation only.
robust9_clean__lgbm,Robust9 Clean — LightGBM (Legacy),legacy_compact_baseline,legacy_comparison,lgbm,robust9_clean,9,vpn_score,per_session,binary,,0.5,,,True,True,True,True,False,True,False,False,artifacts/final_transfer/models/robust9_clean__lgbm,artifacts/final_transfer/models/robust9_clean__lgbm/feature_order.json,,,Compact 9-feature model (size features only). Comparison baseline. Superseded by unified models. No calibrator.
anti_fingerprint_hybrid__lgbm,Anti-Fingerprint Hybrid — LightGBM (Legacy),legacy_anti_fingerprint_attempt,legacy_comparison,lgbm,anti_fingerprint_hybrid,12,vpn_score,per_session,binary,,0.5,,,True,False,True,True,False,True,False,False,artifacts/final_transfer/models/anti_fingerprint_hybrid__lgbm,artifacts/final_transfer/models/anti_fingerprint_hybrid__lgbm/feature_order.json,,,Pre-unification anti-fingerprint attempt. Domain AUC still near 1.0 (0.9999). LODO-min=0.443. Superseded by unified_relative_shape_v2.
lodo__iscx_held_out__lgbm,LODO — ISCX Held Out (Negative Control),lodo_negative_control,report_only,lgbm,unified_relative_shape_v2,12,vpn_score,per_flow,three_class,,,,,False,False,False,False,False,False,True,False,artifacts/unified_feature_contract_v2/models/,,,,Negative control. Trained without ISCX; evaluated on ISCX test. AUC=0.637. Demonstrates cross-domain failure mode. Not deployable.
lodo__vnat_held_out__lgbm,LODO — VNAT Held Out (Negative Control),lodo_negative_control,report_only,lgbm,unified_relative_shape_v2,12,vpn_score,per_flow,three_class,,,,,False,False,False,False,False,False,True,False,artifacts/unified_feature_contract_v2/models/,,,,Negative control. Trained without VNAT; evaluated on VNAT test. AUC=0.956. Better transfer to VNAT. Not deployable.
diverse_bagging_robust9,"Diverse Bagging Robust9 (Ensemble, Legacy)",legacy_ensemble_comparison,legacy_comparison,calibrated_ensemble,robust9,9,vpn_score,per_session,binary,,0.5,,,False,False,False,False,False,True,True,False,artifacts/ensemble/diverse_bagging_robust9,,,artifacts/ensemble/diverse_bagging_robust9/isotonic_calibrator.pkl,Legacy diverse bagging ensemble. Test AUC=0.9903 (overall). Does not use standard feature_order.json. Not selectable in unified benchmark. Report-only reference.
