dir,status,flow_overlap_train_val,flow_overlap_train_test,flow_overlap_val_test,capture_overlap_train_val,capture_overlap_train_test,capture_overlap_val_test,test_auc_iso,suspicious_flag
artifacts/balanced_bagging,3-DS ✅,0,0,0,0,0,0,0.9845632622244282,False
artifacts/balanced_bagging_cat,3-DS ✅,0,0,0,0,0,0,0.9613640520889094,False
artifacts/balanced_bagging_firewall_tuned_ensemble,3-DS ✅,0,0,0,0,0,0,0.9825010496030151,False
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,2-DS (by design),0,0,0,0,0,0,0.9460538261267548,False
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,3-DS ✅,0,0,0,0,0,0,0.9825010496030151,False
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,3-DS ✅,0,0,0,0,0,0,0.9825010496030151,False
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,3-DS ✅,0,0,0,0,0,0,0.980479234221105,False
artifacts/balanced_bagging_lgbm,3-DS ✅,0,0,0,0,0,0,0.9514740792846785,False
artifacts/balanced_bagging_tuned,3-DS ✅,0,0,0,0,0,0,0.960600290096608,False
artifacts/balanced_bagging_xgb,3-DS ✅,0,0,0,0,0,0,0.9555838078918839,False
artifacts/balanced_subset/balanced,3-DS ✅,0,0,0,0,0,0,0.9722999957666334,False
artifacts/balanced_subset/full,3-DS ✅,0,0,0,0,0,0,0.9712232059944469,False
artifacts/clean_pipeline/models_3ds_66k,3-DS ✅,0,0,0,0,0,0,,False
artifacts/ensemble/balanced_ensemble_robust9,3-DS ✅,0,0,0,0,0,0,0.9821773057744281,False
artifacts/ensemble/diverse_bagging_robust,3-DS ✅,0,0,0,0,0,0,0.9842249812896855,False
artifacts/ensemble/diverse_bagging_robust13,3-DS ✅,0,0,0,0,0,0,0.9195084458172468,False
artifacts/ensemble/diverse_bagging_robust9,3-DS ✅,0,0,0,0,0,0,0.9912306871801164,False
