model_id,status,available,reason,n_samples,n_features_used,n_features_required,missing_features,classifier,accuracy,macro_ovr_auc,classes
robust9_firewall,default_firewall,False,too few of this model's features present in unified matrix: 0/9,,0,9,sz_all_mean;sz_cv;sz_all_p25;sz_all_median;sz_all_p75;sz_mean_max;sz_mean_min;sz_std_max;sz_std_min,,,,
balanced_bagging_3ds_reference,policy_computed,True,,4712,7,7,,RF(existing_train_test_split),0.3576719576719577,0.5014476829568096,iscx;usbvpn;vnat
balanced_bagging_3ds_refresh,alias,False,alias entry; domain audit skipped,,,,,,,,
clean_pooled_benchmark,policy_computed,True,,4712,9,9,,RF(existing_train_test_split),0.36084656084656086,0.5024434975584385,iscx;usbvpn;vnat
twentyone_feature_experimental,unsupported,False,unsupported entry; domain audit skipped,,,,,,,,
single_model_fallback,policy_computed,True,,4712,9,9,,RF(existing_train_test_split),0.36084656084656086,0.5024434975584385,iscx;usbvpn;vnat
lodo_hold_iscx,negative_control,False,negative_control entry; domain audit skipped,,,,,,,,
lodo_hold_usbvpn,negative_control,False,negative_control entry; domain audit skipped,,,,,,,,
lodo_hold_vnat,negative_control,False,negative_control entry; domain audit skipped,,,,,,,,
balanced_bagging_xgb_baseline,policy_computed,False,too few of this model's features present in unified matrix: 3/27,,3,27,sz_mean_max;sz_mean_min;sz_std_max;sz_std_min;iat_all_mean;iat_all_std;iat_all_p25;iat_all_median;iat_all_p75;iat_mean_max;iat_mean_min;iat_std_max;iat_std_min;session_mean_prob;session_var_prob;session_top_k_mean_prob;session_consecutive_high_runs;session_fraction_high;sz_all_mean;sz_all_std,,,,
balanced_bagging_baseline,policy_computed,True,,4712,7,7,,RF(existing_train_test_split),0.3576719576719577,0.5014476829568096,iscx;usbvpn;vnat
balanced_bagging_tuned_baseline,policy_computed,False,too few of this model's features present in unified matrix: 3/27,,3,27,sz_mean_max;sz_mean_min;sz_std_max;sz_std_min;iat_all_mean;iat_all_std;iat_all_p25;iat_all_median;iat_all_p75;iat_mean_max;iat_mean_min;iat_std_max;iat_std_min;session_mean_prob;session_var_prob;session_top_k_mean_prob;session_consecutive_high_runs;session_fraction_high;sz_all_mean;sz_all_std,,,,
robust13_comparison,policy_computed,False,too few of this model's features present in unified matrix: 3/12,,3,12,sz_mean_max;sz_mean_min;sz_std_max;sz_std_min;session_mean_prob;session_var_prob;session_top_k_mean_prob;session_consecutive_high_runs;session_fraction_high,,,,
historical_3ds_degraded,alias,False,alias entry; domain audit skipped,,,,,,,,
