model_id,status,policy_sanity_status,issues,strict_action,balanced_action,strict_test_fpr,balanced_test_fpr,supports_firewall_actions,warnings_present
robust9_firewall,default_firewall,pass,,BLOCK,FLAG_REVIEW,0.0,0.0,,[]
balanced_bagging_3ds_reference,policy_computed,pass,,BLOCK,FLAG_REVIEW,0.0,0.0,,"[""comparison-only, not deployment-approved""]"
balanced_bagging_3ds_refresh,alias,not_available,alias entry; policy inherited,,,,,,[]
clean_pooled_benchmark,policy_computed,pass,,DISABLED_DO_NOT_BLOCK,FLAG_REVIEW,0.125,0.0,,"[""comparison-only, not deployment-approved""]"
twentyone_feature_experimental,unsupported,pass,unsupported stub; no policy expected,,,,,,"[""No recoverable 21-feature artifact exists in the workspace. Inspected artifacts/clean_pipeline/feature_columns.json (9 features) and artifacts/features/feature_columns.json (7 features). No 21-feature model file, predictions file, or feature manifest was located. Per task constraints, no feature order is invented.""]"
single_model_fallback,policy_computed,pass,,DISABLED_DO_NOT_BLOCK,FLAG_REVIEW,0.041666666666666664,0.0,,"[""comparison-only, not deployment-approved""]"
lodo_hold_iscx,negative_control,pass,,,,0.0,0.0,False,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_usbvpn,negative_control,pass,,,,0.0,0.0,False,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_vnat,negative_control,pass,,,,0.0,0.0,False,"[""Negative control / LODO stress-test model. Not deployable.""]"
balanced_bagging_xgb_baseline,policy_computed,pass,,BLOCK,FLAG_REVIEW,0.0,0.0,True,"[""comparison-only, not deployment-approved""]"
balanced_bagging_baseline,policy_computed,pass,,BLOCK,FLAG_REVIEW,0.0,0.0,True,"[""comparison-only, not deployment-approved""]"
balanced_bagging_tuned_baseline,policy_computed,pass,,DISABLED_DO_NOT_BLOCK,FLAG_REVIEW,0.00980392156862745,0.00980392156862745,True,"[""comparison-only, not deployment-approved""]"
robust13_comparison,policy_computed,pass,,BLOCK,FLAG_REVIEW,0.0,0.0,True,"[""comparison-only, not deployment-approved""]"
historical_3ds_degraded,alias,not_available,alias entry; policy inherited,,,,,False,"[""historical/degraded artifact; predictions duplicate existing 3DS reference; not deployable.""]"
