threshold,precision,recall,f1,tpr,fpr,tn,fp,fn,tp
0.05,0.9220875587435073,0.16618374715820444,0.28161353678803447,0.16618374715820444,0.025983667409057165,11808,315,18705,3728
0.1,0.927909887359199,0.16524762626487763,0.2805357953685485,0.16524762626487763,0.023756495916852263,11835,288,18726,3707
0.2,0.8981968444778362,0.10658405028306513,0.19055588762701733,0.10658405028306513,0.022354202755093623,11852,271,20042,2391
0.3,0.8298545224541429,0.05848526724022645,0.10926959273756975,0.05848526724022645,0.022189227089004372,11854,269,21121,1312
0.4,0.8305626598465473,0.05790576383007177,0.1082635329416177,0.05790576383007177,0.021859275756825867,11858,265,21134,1299
0.5,0.8331168831168831,0.05719252886372755,0.10703708338547532,0.05719252886372755,0.02119937309246886,11866,257,21150,1283
0.6,0.0,0.0,0.0,0.0,0.0,12123,0,22433,0
0.7,0.0,0.0,0.0,0.0,0.0,12123,0,22433,0
0.8,0.0,0.0,0.0,0.0,0.0,12123,0,22433,0
0.9,0.0,0.0,0.0,0.0,0.0,12123,0,22433,0
0.95,0.0,0.0,0.0,0.0,0.0,12123,0,22433,0
