threshold,precision,recall,f1,tpr,fpr,tn,fp,fn,tp
0.05,0.979328165374677,1.0,0.9895561357702349,1.0,0.00024000960038401536,33324,8,0,379
0.1,0.979328165374677,1.0,0.9895561357702349,1.0,0.00024000960038401536,33324,8,0,379
0.2,0.9844155844155844,1.0,0.9921465968586387,1.0,0.00018000720028801153,33326,6,0,379
0.3,0.9921259842519685,0.9973614775725593,0.9947368421052631,0.9973614775725593,9.000360014400577e-05,33329,3,1,378
0.4,0.9921259842519685,0.9973614775725593,0.9947368421052631,0.9973614775725593,9.000360014400577e-05,33329,3,1,378
0.5,0.9921259842519685,0.9973614775725593,0.9947368421052631,0.9973614775725593,9.000360014400577e-05,33329,3,1,378
0.6,0.0,0.0,0.0,0.0,0.0,33332,0,379,0
0.7,0.0,0.0,0.0,0.0,0.0,33332,0,379,0
0.8,0.0,0.0,0.0,0.0,0.0,33332,0,379,0
0.9,0.0,0.0,0.0,0.0,0.0,33332,0,379,0
0.95,0.0,0.0,0.0,0.0,0.0,33332,0,379,0
