session_id,flow_id,dataset,label,sz_all_mean,sz_cv,sz_all_p25,sz_all_median,sz_all_p75,sz_mean_max,sz_mean_min,sz_std_max,sz_std_min
mail__chunk_0000,mail_0,usbvpn,0,439.774011299435,0.1867038793197936,464.0,464.0,464.0,439.774011299435,0.0,82.10751393363127,0.0
mail__chunk_0000,mail_1,usbvpn,0,217.39175257731958,1.4096597948224603,94.0,111.0,166.5,266.31333333333333,165.34751773049646,392.33482531576976,157.50920206442888
mail__chunk_0000,mail_2,usbvpn,0,200.1590909090909,1.7276289908897768,40.0,81.0,115.5,255.83333333333334,133.35,427.21039573285464,189.4157530407648
mail__chunk_0000,mail_3,usbvpn,0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0
mail__chunk_0000,mail_4,usbvpn,0,176.0,0.0,176.0,176.0,176.0,176.0,0.0,0.0,0.0
mail__chunk_0000,mail_5,usbvpn,0,203.0,2.1830184940480266,40.0,75.0,114.25,265.2173913043478,134.85714285714286,573.6032530168004,205.5064095198529
mail__chunk_0000,mail_6,usbvpn,0,28.0,0.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0
mail__chunk_0000,mail_7,usbvpn,0,50.0,0.2,45.0,50.0,55.0,60.0,40.0,0.0,0.0
mail__chunk_0000,mail_0,usbvpn,1,291.2352941176471,1.309813971643356,102.5,142.5,196.0,401.875,192.88888888888889,496.1020402850607,188.51374511893138
meet__chunk_0000,meet_0,usbvpn,1,852.5808287568647,0.8133872512452776,164.0,984.0,1320.0,1050.062121508107,203.592980954419,658.6317919641847,293.9455403782754
meet__chunk_0000,meet_1,usbvpn,1,1228.3832675222113,0.5548628113910964,1320.0,1492.0,1492.0,1488.4180566182097,145.31931166347994,466.34931754905864,197.4386416693939
mail__chunk_0000,mail_0,usbvpn,1,297.25233644859816,1.163231311477095,144.0,184.0,224.0,357.11504424778764,230.27722772277227,433.9357391398802,184.81283648850894
mail__chunk_0000,mail_1,usbvpn,1,296.6636363636364,1.154901973884995,144.0,176.0,228.0,350.56302521008405,233.15841584158414,427.975528214537,180.08890723301514
mail__chunk_0000,mail_2,usbvpn,1,286.91150442477874,1.187978130912354,144.0,176.0,220.0,333.64,229.07920792079207,418.5876519917901,192.50458053793287
mail__chunk_0000,mail_3,usbvpn,1,292.24657534246575,1.170216735513326,144.0,176.0,224.0,345.3193277310924,229.09,426.2736906898407,180.4557061996101
mail__chunk_0000,mail_4,usbvpn,1,298.9282296650718,1.1689338850883113,144.0,176.0,224.0,350.62608695652176,235.68085106382978,431.7586375031786,190.118228208523
