model_id,family,feature_family,n_features,pooled_auc,pooled_pr_auc,session_auc,recall,fpr,tp,fp,tn,fn,worst_domain_recall,worst_domain_fpr,lodo_iscx_auc,lodo_usbvpn_auc,lodo_vnat_auc,lodo_mean_auc,lodo_min_auc,domain_auc,domain_acc,ece,threshold_instability,runtime_compatible,final_score,dann_lambda,enc_hidden,dropout,batch_norm,balanced,input_domain_auc,embedding_domain_auc,domain_reduction,deployment_eligible,deployment_final_score,dann_research_score,groupdro
full_canonical__lgbm,lgbm,full_canonical,34,0.9994324511686522,0.9839873110494416,1.0,0.9444444444444444,0.0024617776626068,221.0,19.0,7699.0,13.0,0.0,0.0181470869149952,0.6163621478807726,,0.6897689768976898,0.6530655623892312,0.6163621478807726,1.0,1.0,0.0025943885822008,0.0345579632610069,True,0.4336068411145862,,,,,,,,,True,0.6836068411145863,,
full_canonical__xgb,xgb,full_canonical,34,0.999029906778028,0.9731188418002836,0.9966996699669968,0.8632478632478633,0.001813941435605,202.0,14.0,7704.0,32.0,0.0,0.0133715377268385,0.6163621478807726,,0.6897689768976898,0.6530655623892312,0.6163621478807726,1.0,1.0,0.0046209628502769,0.0345579632610069,True,0.4331001975475672,,,,,,,,,True,0.6831001975475672,,
full_canonical__cat,cat,full_canonical,34,0.9980049966445406,0.953971959401679,0.9834983498349834,0.8162393162393162,0.0023322104172065,191.0,18.0,7700.0,43.0,0.0,0.0171919770773638,0.6163621478807726,,0.6897689768976898,0.6530655623892312,0.6163621478807726,1.0,1.0,0.0054554809090916,0.0345579632610069,True,0.4328915680328635,,,,,,,,,True,0.6828915680328635,,
full_canonical__calibrated_ensemble,calibrated_ensemble,full_canonical,34,0.9800131449846402,0.9298033493351912,0.9966996699669968,0.9529914529914528,0.0038870173620108,223.0,30.0,7688.0,11.0,0.0,0.0286532951289398,0.6163621478807726,,0.6897689768976898,0.6530655623892312,0.6163621478807726,1.0,1.0,0.0089147277789248,0.0345579632610069,True,0.4320267563154052,,,,,,,,,True,0.6820267563154052,,
full_canonical__bagging,bagging,full_canonical,34,0.9989224877797048,0.9677965739973076,0.9966996699669968,0.9188034188034188,0.0031096138896087,215.0,24.0,7694.0,19.0,0.0,0.0229226361031518,0.6163621478807726,,0.6897689768976898,0.6530655623892312,0.6163621478807726,1.0,1.0,0.018890718065901,0.0345579632610069,True,0.4295327587436612,,,,,,,,,True,0.6795327587436613,,
timing_shape__xgb,xgb,timing_shape,5,0.9377249431343756,0.348705878867314,0.6831683168316831,0.0854700854700854,0.0031096138896087,20.0,24.0,7694.0,214.0,0.0,0.0219675262655205,0.4511798294033251,,0.5,0.4755899147016625,0.4511798294033251,0.9890528110013064,0.9683091464239196,0.0079786606438427,0.0116637432566193,True,0.1895377802783877,,,,,,,,,True,0.4340641857790408,,
timing_shape__lgbm,lgbm,timing_shape,5,0.9422982793026846,0.4071463431365517,0.8250825082508251,0.1196581196581196,0.0040165846074112,28.0,31.0,7687.0,206.0,0.0,0.0276981852913085,0.4511798294033251,,0.5,0.4755899147016625,0.4511798294033251,0.9890528110013064,0.9683091464239196,0.0098247181732088,0.0116637432566193,True,0.1890762658960461,,,,,,,,,True,0.4336026713966993,,
timing_shape__cat,cat,timing_shape,5,0.9318058241030512,0.3799131005161168,0.6864686468646864,0.1153846153846153,0.0031096138896087,27.0,24.0,7694.0,207.0,0.0,0.0210124164278892,0.4511798294033251,,0.5,0.4755899147016625,0.4511798294033251,0.9890528110013064,0.9683091464239196,0.0109957226770627,0.0116637432566193,True,0.1887835147700827,,,,,,,,,True,0.4333099202707358,,
timing_shape__calibrated_ensemble,calibrated_ensemble,timing_shape,5,0.8880527925617326,0.3421434013910306,0.8069306930693069,0.3205128205128205,0.0079036019694221,75.0,61.0,7657.0,159.0,0.0,0.052531041069723,0.4511798294033251,,0.5,0.4755899147016625,0.4511798294033251,0.9890528110013064,0.9683091464239196,0.0243405759816167,0.0116637432566193,True,0.1854473014439442,,,,,,,,,True,0.4299737069445973,,
anti_fingerprint_hybrid__cat,cat,anti_fingerprint_hybrid,12,0.9888918235316266,0.7277747127579063,0.933993399339934,0.4358974358974359,0.0023322104172065,102.0,18.0,7700.0,132.0,0.0,0.0171919770773638,0.442662399682457,,0.5210396039603961,0.4818510018214265,0.442662399682457,0.9999582241338744,0.9998742612850496,0.0066247711175172,0.0078846428320672,True,0.1799814350388369,,,,,,,,,True,0.4299605471057741,,
